Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Incoming,Unavailable,Committed,Available,On hand
dark-kimono,Dark Kimono,Size,24x36,Print Type,Gallery Wrapped Canvas,,,DARK-KIMONO-GALLERY-WRAPPED-CANVAS-24X36,,,170 Avenue F,,,,150,150
dark-kimono,Dark Kimono,Size,24x36,Print Type,Gallery Wrapped Canvas,,,DARK-KIMONO-GALLERY-WRAPPED-CANVAS-24X36,,,Printful,,,,not stocked,not stocked
dark-kimono,Dark Kimono,Size,36x48,Print Type,Gallery Wrapped Canvas,,,DARK-KIMONO-GALLERY-WRAPPED-CANVAS-36X48,,,170 Avenue F,,,,105,105
dark-kimono,Dark Kimono,Size,36x48,Print Type,Gallery Wrapped Canvas,,,DARK-KIMONO-GALLERY-WRAPPED-CANVAS-36X48,,,Printful,,,,not stocked,not stocked
dark-kimono,Dark Kimono,Size,53x72,Print Type,Gallery Wrapped Canvas,,,DARK-KIMONO-GALLERY-WRAPPED-CANVAS-53X72,,,170 Avenue F,,,,45,45
dark-kimono,Dark Kimono,Size,53x72,Print Type,Gallery Wrapped Canvas,,,DARK-KIMONO-GALLERY-WRAPPED-CANVAS-53X72,,,Printful,,,,not stocked,not stocked
earth-echoes,Earth Echoes,Size,24x36,Print Type,Canvas Roll,,,EARTH-ECHOES-CANVAS-ROLL-24X36,,,170 Avenue F,,,,150,150
earth-echoes,Earth Echoes,Size,24x36,Print Type,Canvas Roll,,,EARTH-ECHOES-CANVAS-ROLL-24X36,,,Printful,,,,not stocked,not stocked
earth-echoes,Earth Echoes,Size,36x48,Print Type,Canvas Roll,,,EARTH-ECHOES-CANVAS-ROLL-36X48,,,170 Avenue F,,,,105,105
earth-echoes,Earth Echoes,Size,36x48,Print Type,Canvas Roll,,,EARTH-ECHOES-CANVAS-ROLL-36X48,,,Printful,,,,not stocked,not stocked
earth-echoes,Earth Echoes,Size,53x72,Print Type,Canvas Roll,,,EARTH-ECHOES-CANVAS-ROLL-53X72,,,170 Avenue F,,,,45,45
earth-echoes,Earth Echoes,Size,53x72,Print Type,Canvas Roll,,,EARTH-ECHOES-CANVAS-ROLL-53X72,,,Printful,,,,not stocked,not stocked
